ID_NOTICIERO,FECHA_TESTIGO,TIPO_VALORACION,CANDIDATO,FRASE_ESTEREOTIPO_GENERAL,FRASE_POSITIVA,FRASE_NEGATIVA,FRASE_ENFOQUE,DURACION_MINUTOS
1,19/04/2024,S,BXGR,,,,,5.583333333333332
1,19/04/2024,S,CSP,,,,,5.783333333333332
1,19/04/2024,S,JAM,,,,,3.3000000000000003
1,19/04/2024,S,SE,,,,,1.4
1,20/03/2024,N,BXGR,,,"Tenemos el llamado de Xóchitl Gálvez ayer, que hizo en Coparmex. Sonó un poco a llamado, no sé si de emergencia o de urgencia.","Tenemos el llamado de Xóchitl Gálvez ayer, que hizo en Coparmex. Sonó un poco a llamado, no sé si de emergencia o de urgencia.",2.55
1,20/03/2024,S,BXGR,,,,,23.53333333333333
1,20/03/2024,S,CSP,,,,,4.25
1,20/03/2024,S,JAM,,,,,1.6333333333333333
1,20/03/2024,S,SE,,,,,37.166666666666664
1,21/03/2024,S,BXGR,,,,,9.3
1,21/03/2024,S,CSP,,,,,5.366666666666666
1,21/03/2024,S,JAM,,,,,0.75
1,21/03/2024,S,SE,,,,,2.716666666666667
1,22/03/2024,N,SE,,,"Y después lanzaba gritos de guerra: ""Y con estos amarillos, con los del PRD vamos a ganar"". ""Y con estos, los del PAN, vamos a ganar"". ""Y con estos, los del PRI, vamos a ganar"". Y pues yo pienso, ¡caray!, la verdad es que al menos en Hidalgo, esas tres fuerzas están muy desvanecidas.",,8.75
1,22/03/2024,P,BXGR,,"Estaba en su casa y eso la tenía contenta. (...) Se veía una candidata contenta. Yo asumo por dos cosas. Primero, insisto, por esta visita a su estado natal y dos, pues porque tiene 80 millones de pesos más en la bolsa, que no es poca cosa.",,,2.9166666666666665
1,22/03/2024,S,BXGR,,,,,5.666666666666667
1,22/03/2024,S,CSP,,,,,2.2
1,22/03/2024,S,JAM,,,,,1.1500000000000001
1,22/03/2024,S,SE,,,,,3.1500000000000004
1,22/04/2024,N,CSP,,,"Se apropia de este inmueble quitándoselo a los originales dueños (...) Sería una apropiación abusiva, no ¿por qué? No porque esté fuera de la ley, sino porque, según este trabajo, sino porque no le habrían manifestado directamente a la señora, pero sí en un canal de legalidad a las personas originales, las dueñas de este predio, pues que se quedaban sin propiedad.",,1.6166666666666667
1,22/04/2024,P,CSP,,"Muy buen porte, muy bien, muy tranquila, libra el momento.",,"Muy buen porte, muy bien, muy tranquila, libra el momento.",0.36666666666666664
1,22/04/2024,S,BXGR,,,,,0.7333333333333334
1,22/04/2024,S,CSP,,,,,12.233333333333334
1,22/04/2024,S,JAM,,,,,0.3
1,23/04/2024,P,BXGR,,"Ayer tuvieron este gran evento al que acudieron con muy buen gesto, con muy buena cara Xóchitl Gálvez, Claudia Sheinbaum, Jorge Álvarez Máynez (...) Felicidades a los candidatos.",,"Ayer tuvieron este gran evento al que acudieron con muy buen gesto, con muy buena cara Xóchitl Gálvez, Claudia Sheinbaum, Jorge Álvarez Máynez (...) Felicidades a los candidatos.",0.5333333333333333
